Read_Name,Read_Sequence,Sample_ID,Pool_ID,Site,City,Date,Mapping_Type,Non-Circulating_Best_Strain,Non-Circulating_Percent_Identity,Circulating_Best_Strain,Circulating_Percent_Identity,C/N_Ratio
SYN_101_8217_8366_370_-_16217_1_.__0101 ,,,,,,,both,Bru,83.10810811,OM203601,100,1.203252033
SYN_253_7454_7603_408_+_15454_1_.__0251 ,,,,,,,both,Bru,86,MK114636,99.33333333,1.15503876
SYN_368_3303_3452_395_+_11303_1_.__0866 ,,,,,,,both,NL4-3,95.33333333,OM203601,100,1.048951049
SYN_240_8835_8984_427_+_16835_1_._HXB2$Huma_0737 ,,,,,,,both,HXB2,100,OR496826,96,0.96
SYN_356_7355_7504_424_+_15355_1_._HXB2$Huma_0853 ,,,,,,,both,HXB2,100,OR737141,88.66666667,0.886666667
SYN_359_2584_2733_377_+_10584_1_.__0357 ,,,,,,,both,HXB2,98,OM203601,100,1.020408163
SYN_75_5103_5252_386_-_13103_1_._0571 ,,,,,,,both,YU-2,94,ON816670,100,1.063829787
SYN_84_6821_6970_397_+_14821_1_._0582 ,,,,,,,both,HXB2,89.58333333,OM203601,100,1.11627907
SYN_35_1240_1389_392_-_9240_1_0035 ,,,,,,,both,Bru,96.66666667,MK114636,100,1.034482759
SYN_381_5888_6037_335_+_13888_1_.__0877 ,,,,,,,both,YU-2,79.33333333,MK114636,100,1.260504202
SYN_284_6587_6736_335_-_14587_1_._HXB2$Huma_0781 ,,,,,,,both,HXB2,100,OR496826,87.07482993,0.870748299
SYN_431_3050_3199_338_+_11050_1_.__0927 ,,,,,,,both,Bru,93.33333333,MK114636,100,1.071428571
SYN_83_1424_1573_416_-_9424_1_._HXB2$Hu_0580 ,,,,,,,both,Bru,99.33333333,MT744335,98.66666667,0.993288591
SYN_1_567_716_337_+_8567_0499 ,,,,,,,both,NL4-3,98,OM203601,100,1.020408163
SYN_144_7913_8062_353_+_15913_1_._HXB2$Huma_0143 ,,,,,,,both,HXB2,99.33333333,MZ922517,94.66666667,0.953020134
SYN_294_5644_5793_347_+_13644_1_._HXB2$Huma_0292 ,,,,,,,both,HXB2,100,MT744335,98,0.98
SYN_49_3916_4065_406_-_11916_1_._HXB2$Hum_0049 ,,,,,,,both,HXB2,100,MW262776,98,0.98
SYN_19_8653_8802_351_+_16653_1_._HXB2$Hum_0020 ,,,,,,,both,HXB2,100,MH897920,96.66666667,0.966666667
SYN_324_96_245_350_-_8096_1_._HXB2$H_0821 ,,,,,,,both,HXB2,100,OQ092463,93.33333333,0.933333333
SYN_74_2237_2386_358_-_10237_1_._0572 ,,,,,,,both,Bru,97.33333333,OM203601,100,1.02739726
SYN_216_1838_1987_396_+_9838_1_.__0214 ,,,,,,,both,Bru,95.33333333,MK114636,100,1.048951049
SYN_262_415_564_331_-_8415_1_._Vector_pLVX.T_0261 ,,,,,,,both,HXB2,99.33333333,OQ948538,96.66666667,0.973154362
SYN_413_130_279_345_-_8130_1_._HXB2$_0910 ,,,,,,,both,HXB2,100,MW753604,92,0.92
SYN_190_1569_1718_410_-_9569_1_._0686 ,,,,,,,both,Bru,95.33333333,MK114636,100,1.048951049
SYN_496_6874_7023_349_-_14874_1_.__0992 ,,,,,,,both,HXB2,86.11111111,ON816670,100,1.161290323
SYN_128_3343_3492_307_-_11343_1_._HXB2$Huma_0127 ,,,,,,,both,HXB2,100,OR496826,98.66666667,0.986666667
SYN_235_4571_4720_310_+_12571_1_._HXB2$Huma_0234 ,,,,,,,both,Bru,99.33333333,MN691961,99.33333333,1
SYN_232_1369_1518_387_-_9369_1_._Vector_pLVX.TRE_0731 ,,,,,,,both,Bru,100,MW754632,98.66666667,0.986666667
SYN_164_7859_8008_371_+_15859_1_.__0164 ,,,,,,,both,Bru,69.04761905,ON816670,100,1.448275862
SYN_325_3703_3852_359_-_11703_1_.__0823 ,,,,,,,both,Bru,96.66666667,OM203601,100,1.034482759
SYN_363_6952_7101_363_-_14952_1_.__0859 ,,,,,,,both,NY5,95.33333333,MK114636,100,1.048951049
SYN_238_4553_4702_346_+_12553_1_.__0734 ,,,,,,,both,HXB2,97.33333333,MK114636,100,1.02739726
SYN_130_5566_5715_353_+_13566_1_._HXB2$Huma_0129 ,,,,,,,both,HXB2,100,ON015228,95.33333333,0.953333333
SYN_289_2583_2732_382_+_10583_1_._HXB2$Huma_0786 ,,,,,,,both,HXB2,100,MK114636,99.33333333,0.993333333
SYN_140_261_410_313_-_8261_1_._Vector_pLVX._0141 ,,,,,,,both,HXB2,99.33333333,OQ092463,96,0.966442953
SYN_446_2142_2291_448_+_10142_1_.__0944 ,,,,,,,both,Bru,96.66666667,OM203601,100,1.034482759
SYN_4_7825_7974_322_-_15825_1__0005 ,,,,,,,both,NY5,89.33333333,ON816670,100,1.119402985
SYN_228_7061_7210_296_-_15061_1_.__0226 ,,,,,,,both,Bru,90.66666667,MK114636,100,1.102941176
SYN_169_5135_5284_374_-_13135_1_.__0168 ,,,,,,,both,Bru,93.33333333,OM203601,100,1.071428571
SYN_399_5153_5302_323_-_13153_1_._HXB2$Huma_0396 ,,,,,,,both,Bru,100,KX505396,100,1
SYN_413_8137_8286_345_-_16137_1_.__0909 ,,,,,,,both,Bru,69.84126984,ON816670,100,1.431818182
SYN_299_6765_6914_408_-_14765_1_.__0795 ,,,,,,,both,HXB2,94.66666667,ON816670,100,1.056338028
SYN_112_8478_8627_427_+_16478_1_.__0112 ,,,,,,,both,Bru,89.26174497,OM203601,99.33333333,1.11283208
SYN_298_1832_1981_402_+_9832_1_.__0297 ,,,,,,,both,Bru,97.33333333,ON816670,100,1.02739726
SYN_388_6783_6932_357_+_14783_1_._HXB2$Huma_0885 ,,,,,,,both,HXB2,100,KX505419,94.66666667,0.946666667
SYN_230_6458_6607_404_-_14458_1_.__0228 ,,,,,,,both,Bru,93.33333333,MK114636,100,1.071428571
SYN_268_4862_5011_349_+_12862_1_.__0764 ,,,,,,,both,Bru,96.66666667,ON816670,100,1.034482759
SYN_61_8880_9029_405_-_16880_1_._HXB2$Hum_0061 ,,,,,,,both,Bru,100,OR496826,96.66666667,0.966666667
SYN_408_984_1133_316_+_8984_1_._0904 ,,,,,,,both,Bru,97.33333333,MK114636,100,1.02739726
SYN_436_2791_2940_406_-_10791_1_.__0434 ,,,,,,,both,YU-2,98,OM203601,100,1.020408163
SYN_347_1820_1969_377_-_9820_1_._HXB2$Hum_0844 ,,,,,,,both,HXB2,100,OM203923,96,0.96
SYN_253_3223_3372_408_+_11223_1_.__0749 ,,,,,,,both,YU-2,98,ON816670,100,1.020408163
SYN_215_8554_8703_381_+_16554_1_._HXB2$Huma_0214 ,,,,,,,both,HXB2,100,OR496826,96.66666667,0.966666667
SYN_395_3713_3862_406_-_11713_1_.__0393 ,,,,,,,both,NY5,95.33333333,OM203601,100,1.048951049
SYN_273_8397_8546_410_-_16397_1_._HXB2$Huma_0271 ,,,,,,,both,HXB2,100,MZ922517,96.66666667,0.966666667
SYN_153_7111_7260_382_-_15111_1_.__0153 ,,,,,,,both,HXB2,86.80555556,ON816670,100,1.152
SYN_346_8022_8171_322_-_16022_1_.__0842 ,,,,,,,both,Bru,89.33333333,MK114636,100,1.119402985
SYN_94_1680_1829_368_-_9680_1__0094 ,,,,,,,both,NL4-3,93.33333333,OM203601,100,1.071428571
SYN_18_6624_6773_401_+_14624_1_._0514 ,,,,,,,both,NY5,79.33333333,ON816670,99.33333333,1.25210084
SYN_437_6128_6277_439_+_14128_1_.__0933 ,,,,,,,both,NL4-3,95.33333333,ON816670,100,1.048951049
SYN_110_8260_8409_350_-_16260_1_.__0110 ,,,,,,,both,Bru,68.25396825,ON816670,100,1.465116279
SYN_6_1116_1265_377_+_9116_1_0007 ,,,,,,,both,NL4-3,96,ON816670,100,1.041666667
SYN_147_4091_4240_384_-_12091_1_._HXB2$Huma_0644 ,,,,,,,both,Bru,100,MG171202,99.33333333,0.993333333
SYN_350_6762_6911_366_+_14762_1_.__0848 ,,,,,,,both,NY5,94,OM203601,100,1.063829787
SYN_75_168_317_386_-_8168_1_._Vector_pLVX_0574 ,,,,,,,both,HXB2,100,MW753604,96,0.96
SYN_253_6206_6355_408_+_14206_1_.__0252 ,,,,,,,both,NY5,86.36363636,OM203601,99.33333333,1.150175439
SYN_143_5349_5498_361_+_13349_1_._HXB2$Huma_0640 ,,,,,,,both,HXB2,100,MW309891,95.33333333,0.953333333
SYN_223_4087_4236_384_-_12087_1_.__0223 ,,,,,,,both,NL4-3,93.33333333,ON816670,100,1.071428571
SYN_277_2982_3131_448_-_10982_1_.__0773 ,,,,,,,both,YU-2,97.33333333,ON816670,100,1.02739726
SYN_259_327_476_381_+_8327_1_0755 ,,,,,,,both,NL4-3,94,MK114636,100,1.063829787
SYN_497_6017_6166_409_-_14017_1_.__0495 ,,,,,,,both,NY5,96,OM203601,100,1.041666667
SYN_44_8488_8637_370_-_16488_1_._0044 ,,,,,,,both,Bru,90.66666667,MK114636,100,1.102941176
SYN_247_2096_2245_399_+_10096_1_.__0245 ,,,,,,,both,Bru,95.33333333,MK114636,100,1.048951049
SYN_337_92_241_428_+_8092_1_._Vector_pLVX.T_0336 ,,,,,,,both,HXB2,100,OM208834,98.66666667,0.986666667
SYN_402_74_223_370_+_8074_1_0900 ,,,,,,,both,Bru,96.66666667,OM203601,100,1.034482759
SYN_16_7955_8104_418_+_15955_1_._0017 ,,,,,,,both,Bru,90.66666667,MK114636,100,1.102941176
SYN_102_6471_6620_412_+_14471_1_.__0598 ,,,,,,,both,YU-2,93.10344828,ON816670,100,1.074074074
SYN_133_3303_3452_402_+_11303_1_.__0629 ,,,,,,,both,YU-2,96.66666667,ON816670,100,1.034482759
SYN_440_6887_7036_406_+_14887_1_.__0436 ,,,,,,,both,YU-2,94.66666667,ON816670,100,1.056338028
SYN_284_3051_3200_335_+_11051_1_.__0782 ,,,,,,,both,Bru,92,OM203601,100,1.086956522
SYN_378_3627_3776_370_+_11627_1_._HXB2$Huma_0875 ,,,,,,,both,HXB2,99.33333333,MW262776,98,0.986577181
SYN_485_2433_2582_401_-_10433_1_._HXB2$Huma_0982 ,,,,,,,both,HXB2,100,MT744335,98.66666667,0.986666667
SYN_172_5764_5913_392_-_13764_1_.__0170 ,,,,,,,both,HXB2,88.88888889,MK114636,100,1.125
SYN_304_3976_4125_370_+_11976_1_.__0800 ,,,,,,,both,HXB2,96,MK114636,100,1.041666667
SYN_210_181_330_332_+_8181_1_0210 ,,,,,,,both,NL4-3,96,ON816670,100,1.041666667
SYN_175_6706_6855_405_-_14706_1_._HXB2$Huma_0174 ,,,,,,,both,Bru,100,OM208257,98.66666667,0.986666667
SYN_353_7922_8071_390_+_15922_1_.__0350 ,,,,,,,both,Bru,89.33333333,MK114636,99.33333333,1.111940299
SYN_356_2079_2228_424_-_10079_1_._Vector_pLVX.TRE_0355 ,,,,,,,both,HXB2,100,MK115482,96.66666667,0.966666667
SYN_409_218_367_344_+_8218_1_._HXB2$H_0406 ,,,,,,,both,HXB2,100,MW754632,99.33333333,0.993333333
SYN_419_1816_1965_286_-_9816_1_._0915 ,,,,,,,both,Bru,98.66666667,MK114636,100,1.013513514
SYN_319_6438_6587_401_-_14438_1_.__0317 ,,,,,,,both,Bru,94,MK114636,100,1.063829787
SYN_262_5148_5297_331_-_13148_1_.__0260 ,,,,,,,both,NL4-3,92.66666667,MK114636,100,1.079136691
SYN_437_1795_1944_439_+_9795_1_._HXB2$Huma_0934 ,,,,,,,both,HXB2,99.33333333,OM203923,95.33333333,0.959731544
SYN_276_7631_7780_387_-_15631_1_.__0772 ,,,,,,,both,Bru,92.66666667,ON816670,100,1.079136691
SYN_266_8944_9093_389_+_16944_1_._HXB2$Huma_0264 ,,,,,,,both,HXB2,99.33333333,OQ092463,94.66666667,0.953020134
SYN_380_1103_1252_429_-_9103_1_0878 ,,,,,,,both,Bru,87.33333333,OM203601,100,1.145038168
SYN_302_4438_4587_420_+_12438_1_.__0798 ,,,,,,,both,Bru,93.33333333,MK114636,100,1.071428571
SYN_416_7892_8041_386_+_15892_1_.__0412 ,,,,,,,both,Bru,90.66666667,MK114636,100,1.102941176
SYN_298_1832_1981_402_+_9832_1_.__0794 ,,,,,,,both,Bru,97.33333333,ON816670,99.33333333,1.020547945
SYN_347_3114_3263_377_+_11114_1_.__0345 ,,,,,,,both,Bru,95.33333333,ON816670,100,1.048951049
SYN_135_6437_6586_324_-_14437_1_.__0134 ,,,,,,,both,HXB2,90,MK114636,100,1.111111111
SYN_403_1044_1193_432_+_9044_1_._Vector_pLVX.TRE_0902 ,,,,,,,both,Bru,70.71428571,MW309891,76.51006711,1.081960545
SYN_306_5340_5489_457_-_13340_1_.__0305 ,,,,,,,both,NY5,95.0617284,ON816670,100,1.051948052
SYN_424_2114_2263_368_-_10114_1_._Vector_pLVX.TRE_0423 ,,,,,,,both,Bru,83.33333333,MK115482,79.33333333,0.952
SYN_496_6874_7023_349_-_14874_1_.__0492 ,,,,,,,both,Bru,78.26086957,ON816670,100,1.277777778
SYN_91_2070_2219_393_+_10070_1_._0091 ,,,,,,,both,Bru,96,ON816670,100,1.041666667
SYN_92_1394_1543_405_-_9394_1_._HXB2$Hu_0589 ,,,,,,,both,Bru,100,MT744335,100,1
SYN_484_1199_1348_370_-_9199_1__0480 ,,,,,,,both,Bru,94.66666667,ON816670,100,1.056338028
SYN_106_2567_2716_378_-_10567_1_.__0105 ,,,,,,,both,Bru,94.66666667,MK114636,100,1.056338028
SYN_420_5422_5571_316_-_13422_1_.__0918 ,,,,,,,both,YU-2,88.66666667,OM203601,99.33333333,1.120300752
SYN_261_5637_5786_396_+_13637_1_.__0259 ,,,,,,,both,YU-2,79.33333333,MK114636,100,1.260504202
SYN_158_2812_2961_349_-_10812_1_._HXB2$Huma_0157 ,,,,,,,both,HXB2,100,OM203788,99.33333333,0.993333333
SYN_358_1963_2112_287_+_9963_1_.__0856 ,,,,,,,both,Bru,97.33333333,OM203601,100,1.02739726
SYN_395_4625_4774_406_+_12625_1_.__0891 ,,,,,,,both,NL4-3,93.33333333,ON816670,100,1.071428571
SYN_22_785_934_310_+_8785_1_0518 ,,,,,,,both,NL4-3,98,MK114636,99.33333333,1.013605442
SYN_190_110_259_410_+_8110_1_._HXB2$H_0189 ,,,,,,,both,HXB2,100,OM208834,98.66666667,0.986666667
SYN_67_589_738_425_+_8589_1_._HXB2$H_0067 ,,,,,,,both,Bru,99.33333333,OM207542,98,0.986577181
SYN_165_438_587_393_-_8438_1_0661 ,,,,,,,both,Bru,85.10638298,MK114636,100,1.175
SYN_444_2602_2751_306_+_10602_1_.__0940 ,,,,,,,both,YU-2,98,MK114636,99.33333333,1.013605442
SYN_490_7838_7987_386_-_15838_1_.__0986 ,,,,,,,both,Bru,92.66666667,MK114636,100,1.079136691
SYN_255_5797_5946_387_+_13797_1_.__0253 ,,,,,,,both,YU-2,56.66666667,MK114636,100,1.764705882
SYN_190_4672_4821_410_-_12672_1_.__0688 ,,,,,,,both,YU-2,96.66666667,OM203601,100,1.034482759
SYN_247_1532_1681_399_+_9532_1_._Vector_pLVX.TRE_0246 ,,,,,,,both,HXB2,100,KX505739,96,0.96
SYN_419_2013_2162_286_-_10013_1_._0416 ,,,,,,,both,Bru,98.66666667,ON816670,100,1.013513514
SYN_151_6599_6748_363_-_14599_1_.__0647 ,,,,,,,both,Bru,90.56603774,MK114636,100,1.104166667
SYN_146_4619_4768_316_+_12619_1_.__0642 ,,,,,,,both,NL4-3,93.33333333,ON816670,100,1.071428571
SYN_66_1807_1956_360_-_9807_1__0066 ,,,,,,,both,Bru,96,ON816670,100,1.041666667
SYN_221_5326_5475_390_-_13326_1_.__0221 ,,,,,,,both,Bru,100,ON816670,100,1
SYN_401_3107_3256_392_+_11107_1_.__0399 ,,,,,,,both,NL4-3,96,OM203601,100,1.041666667
SYN_236_7863_8012_400_+_15863_1_.__0236 ,,,,,,,both,Bru,70.63492063,ON816670,100,1.415730337
SYN_163_6544_6693_364_-_14544_1_.__0659 ,,,,,,,both,NY5,90.66666667,ON816670,100,1.102941176
SYN_356_7013_7162_424_+_15013_1_.__0354 ,,,,,,,both,Bru,90.66666667,ON816670,100,1.102941176
SYN_248_1633_1782_372_+_9633_1_._0248 ,,,,,,,both,Bru,98.66666667,ON816670,100,1.013513514
SYN_429_6581_6730_381_+_14581_1_.__0925 ,,,,,,,both,Bru,95.90163934,ON816670,100,1.042735043
SYN_58_7594_7743_377_+_15594_1_._0554 ,,,,,,,both,Bru,94,ON816670,100,1.063829787
SYN_198_4766_4915_401_-_12766_1_.__0196 ,,,,,,,both,HXB2,94.66666667,MK114636,99.33333333,1.049295775
SYN_193_8850_8999_369_-_16850_1_.__0191 ,,,,,,,both,NY5,91.33333333,MK114636,100,1.094890511
SYN_206_5382_5531_387_-_13382_1_.__0704 ,,,,,,,both,YU-2,87.33333333,OM203601,100,1.145038168
SYN_122_1454_1603_385_-_9454_1_._0122 ,,,,,,,both,NY5,100,ON816670,100,1
SYN_29_7690_7839_395_-_15690_1_._0527 ,,,,,,,both,NY5,88.66666667,OM203601,100,1.127819549
SYN_83_7591_7740_416_+_15591_1_._0579 ,,,,,,,both,Bru,93.33333333,ON816670,99.33333333,1.064285714
SYN_241_515_664_382_+_8515_1_._Vector_pLVX.T_0240 ,,,,,,,both,Bru,98.64864865,OQ092466,97.2972973,0.98630137
SYN_38_8350_8499_361_+_16350_1_._0038 ,,,,,,,both,NY5,100,MK114636,100,1
SYN_418_8410_8559_396_-_16410_1_.__0416 ,,,,,,,both,Bru,92.59259259,OM203601,100,1.08
SYN_136_3849_3998_430_-_11849_1_.__0135 ,,,,,,,both,YU-2,94,OM203601,100,1.063829787
SYN_180_5361_5510_405_+_13361_1_.__0180 ,,,,,,,both,YU-2,98,ON816670,100,1.020408163
SYN_35_2458_2607_392_-_10458_1_._HXB2$Hum_0532 ,,,,,,,both,HXB2,99.33333333,MK169545,98,0.986577181
SYN_476_8179_8328_406_+_16179_1_._HXB2$Huma_0973 ,,,,,,,both,HXB2,100,MZ922517,96.66666667,0.966666667
SYN_30_1956_2105_342_+_9956_1_._Vector_pLVX.TRE_0529 ,,,,,,,both,HXB2,71.1409396,MW881680,71.1409396,1
SYN_471_6409_6558_405_-_14409_1_.__0469 ,,,,,,,both,NY5,93.33333333,OM203601,100,1.071428571
SYN_127_6234_6383_410_+_14234_1_.__0127 ,,,,,,,both,YU-2,92.47311828,ON816670,100,1.081395349
SYN_480_745_894_430_+_8745_1_._HXB2$Hum_0477 ,,,,,,,both,HXB2,100,MZ922531,96,0.96
SYN_196_8818_8967_384_-_16818_1_._HXB2$Huma_0693 ,,,,,,,both,HXB2,100,OR496826,95.33333333,0.953333333
SYN_163_4515_4664_364_+_12515_1_.__0161 ,,,,,,,both,Bru,91.33333333,MK114636,99.33333333,1.087591241
SYN_191_7299_7448_365_-_15299_1_.__0191 ,,,,,,,both,YU-2,94,ON816670,100,1.063829787
SYN_281_3629_3778_309_-_11629_1_.__0777 ,,,,,,,both,Bru,94.66666667,MK114636,100,1.056338028
SYN_186_4257_4406_387_-_12257_1_.__0185 ,,,,,,,both,HXB2,98,OM203601,99.33333333,1.013605442
SYN_35_4539_4688_392_+_12539_1_._0035 ,,,,,,,both,YU-2,94,OM203601,100,1.063829787
SYN_227_5737_5886_394_+_13737_1_.__0725 ,,,,,,,both,NY5,96,OM203601,100,1.041666667
SYN_160_8678_8827_443_-_16678_1_._HXB2$Huma_0159 ,,,,,,,both,HXB2,100,MW754632,94.66666667,0.946666667
SYN_169_6661_6810_374_-_14661_1_.__0169 ,,,,,,,both,YU-2,94,ON816670,100,1.063829787
SYN_111_5732_5881_349_-_13732_1_.__0609 ,,,,,,,both,NY5,95.33333333,OM203601,100,1.048951049
SYN_368_7740_7889_395_+_15740_1_.__0366 ,,,,,,,both,Bru,91.33333333,ON816670,100,1.094890511
SYN_17_4675_4824_431_+_12675_1_._0513 ,,,,,,,both,NL4-3,92.66666667,MK114636,100,1.079136691
SYN_368_4484_4633_395_+_12484_1_._HXB2$Huma_0365 ,,,,,,,both,Bru,100,MN691961,100,1
SYN_347_7491_7640_377_+_15491_1_.__0345 ,,,,,,,both,NY5,88.66666667,OM203601,100,1.127819549
SYN_388_4615_4764_357_-_12615_1_.__0385 ,,,,,,,both,Bru,93.33333333,MK114636,100,1.071428571
SYN_270_2482_2631_424_+_10482_1_.__0269 ,,,,,,,both,Bru,94.66666667,ON816670,100,1.056338028
SYN_427_8643_8792_365_-_16643_1_._HXB2$Huma_0924 ,,,,,,,both,Bru,100,OP700950,95.33333333,0.953333333
SYN_497_1259_1408_409_-_9259_1_._Vector_pLVX.TRE_0496 ,,,,,,,both,Bru,95.33333333,MZ922531,93.33333333,0.979020979
SYN_119_8371_8520_397_-_16371_1_._HXB2$Huma_0118 ,,,,,,,both,HXB2,100,MZ922517,96,0.96
SYN_76_2366_2515_374_-_10366_1_._0572 ,,,,,,,both,YU-2,95.33333333,ON816670,100,1.048951049
SYN_415_1057_1206_371_-_9057_1_0913 ,,,,,,,both,Bru,94,OM203601,100,1.063829787
SYN_140_261_410_313_-_8261_1_._Vector_pLVX._0639 ,,,,,,,both,Bru,99.33333333,OQ948538,97.33333333,0.979865772
SYN_159_8100_8249_361_-_16100_1_.__0157 ,,,,,,,both,Bru,90.66666667,MK114636,99.33333333,1.095588235
SYN_207_8988_9137_426_-_16988_1_._HXB2$Huma_0206 ,,,,,,,both,HXB2,100,OR496826,94,0.94
SYN_2_824_973_408_-_8824_0003 ,,,,,,,both,Bru,96.66666667,MK114636,100,1.034482759
SYN_207_1774_1923_426_-_9774_1_._0205 ,,,,,,,both,NL4-3,94,MK114636,100,1.063829787
SYN_308_730_879_386_-_8730_1_._HXB2$H_0805 ,,,,,,,both,HXB2,100,KU678025,98,0.98
SYN_337_8845_8994_428_-_16845_1_._HXB2$Huma_0834 ,,,,,,,both,HXB2,100,MH897920,96.66666667,0.966666667
SYN_313_7961_8110_326_+_15961_1_.__0311 ,,,,,,,both,NL4-3,91.66666667,OM203601,100,1.090909091
SYN_359_899_1048_377_-_8899_1_._Vector_pLVX.T_0858 ,,,,,,,both,Bru,100,MZ662740,98,0.98
SYN_393_904_1053_467_+_8904_1_._0889 ,,,,,,,both,Bru,96,MK114636,100,1.041666667
SYN_120_6222_6371_415_+_14222_1_.__0119 ,,,,,,,both,YU-2,86.44067797,MK114636,100,1.156862745
SYN_132_5249_5398_365_+_13249_1_.__0630 ,,,,,,,both,Bru,89.33333333,OM203601,100,1.119402985
SYN_9_636_785_412_-_8636_0507 ,,,,,,,both,Bru,97.33333333,OM203601,100,1.02739726
SYN_415_8700_8849_371_-_16700_1_.__0911 ,,,,,,,both,HXB2,95.33333333,ON816670,100,1.048951049
SYN_253_353_502_408_-_8353_1_._HXB2$_0251 ,,,,,,,both,HXB2,100,OQ092463,93.33333333,0.933333333
SYN_30_7601_7750_342_-_15601_1_._0528 ,,,,,,,both,Bru,94.66666667,OM203601,100,1.056338028
SYN_333_7892_8041_372_-_15892_1_.__0831 ,,,,,,,both,Bru,92.66666667,OM203601,100,1.079136691
SYN_356_3366_3515_424_-_11366_1_.__0852 ,,,,,,,both,Bru,95.33333333,MK114636,100,1.048951049
SYN_329_2070_2219_439_-_10070_1_._0825 ,,,,,,,both,Bru,98,ON816670,100,1.020408163
SYN_72_4351_4500_335_-_12351_1_._0072 ,,,,,,,both,Bru,98.66666667,OM203601,100,1.013513514
SYN_118_7316_7465_400_+_15316_1_.__0117 ,,,,,,,both,YU-2,94.66666667,MK114636,100,1.056338028
SYN_364_6826_6975_401_-_14826_1_.__0362 ,,,,,,,both,Bru,96.55172414,ON816670,100,1.035714286
SYN_183_2423_2572_384_-_10423_1_.__0183 ,,,,,,,both,Bru,96.66666667,ON816670,100,1.034482759
SYN_371_4646_4795_367_-_12646_1_._HXB2$Huma_0368 ,,,,,,,both,HXB2,100,MZ662564,98,0.98
SYN_479_7028_7177_373_+_15028_1_.__0975 ,,,,,,,both,HXB2,93.87755102,MK114636,100,1.065217391
SYN_452_8088_8237_374_-_16088_1_.__0450 ,,,,,,,both,Bru,91.33333333,OM203601,100,1.094890511
SYN_245_2348_2497_342_+_10348_1_.__0743 ,,,,,,,both,Bru,96.66666667,OM203601,100,1.034482759
SYN_278_7975_8124_379_-_15975_1_.__0774 ,,,,,,,both,Bru,89.33333333,MK114636,100,1.119402985
SYN_272_7279_7428_379_-_15279_1_.__0768 ,,,,,,,both,Bru,90,ON816670,99.33333333,1.103703704
SYN_219_8658_8807_423_-_16658_1_.__0218 ,,,,,,,both,NL4-3,94.66666667,OM203601,100,1.056338028
SYN_370_2508_2657_318_+_10508_1_.__0368 ,,,,,,,both,Bru,97.33333333,ON816670,100,1.02739726
SYN_326_4297_4446_373_-_12297_1_.__0824 ,,,,,,,both,Bru,97.33333333,OM203601,99.33333333,1.020547945
SYN_222_7902_8051_339_-_15902_1_.__0222 ,,,,,,,both,YU-2,90.66666667,ON816670,100,1.102941176
SYN_270_517_666_424_+_8517_1_0766 ,,,,,,,both,Bru,87.94326241,MK114636,100,1.137096774
SYN_203_6556_6705_377_-_14556_1_.__0201 ,,,,,,,both,NY5,88.66666667,MK114636,100,1.127819549
SYN_347_5117_5266_377_+_13117_1_.__0843 ,,,,,,,both,YU-2,86,MK114636,100,1.162790698
SYN_6_2684_2833_377_-_10684_1__0007 ,,,,,,,both,YU-2,93.33333333,MK114636,100,1.071428571
SYN_481_4141_4290_388_-_12141_1_._HXB2$Huma_0978 ,,,,,,,both,Bru,100,OM203788,98.66666667,0.986666667
SYN_366_7130_7279_352_-_15130_1_.__0364 ,,,,,,,both,HXB2,89.58333333,ON816670,100,1.11627907
SYN_313_3972_4121_326_+_11972_1_.__0311 ,,,,,,,both,Bru,97.33333333,MK114636,100,1.02739726
SYN_39_4773_4922_362_+_12773_1_._HXB2$Hum_0040 ,,,,,,,both,Bru,99.33333333,MH897920,98.66666667,0.993288591
SYN_246_3123_3272_323_+_11123_1_.__0744 ,,,,,,,both,YU-2,94,OM203601,100,1.063829787
SYN_81_1037_1186_400_+_9037_1__0577 ,,,,,,,both,Bru,95.33333333,ON816670,100,1.048951049
SYN_310_7893_8042_356_-_15893_1_.__0806 ,,,,,,,both,Bru,94,ON816670,100,1.063829787
SYN_282_6218_6367_286_+_14218_1_.__0778 ,,,,,,,both,Bru,92.66666667,MK114636,100,1.079136691
SYN_254_1408_1557_395_+_9408_1_._HXB2$Hum_0751 ,,,,,,,both,Bru,100,MT744335,100,1
SYN_222_3942_4091_339_-_11942_1_.__0220 ,,,,,,,both,YU-2,95.33333333,MK114636,99.33333333,1.041958042
SYN_160_3281_3430_443_+_11281_1_.__0658 ,,,,,,,both,Bru,93.33333333,OM203601,100,1.071428571
SYN_121_5795_5944_345_+_13795_1_._HXB2$Huma_0120 ,,,,,,,both,HXB2,100,OQ092463,94,0.94
SYN_135_6437_6586_324_-_14437_1_.__0631 ,,,,,,,both,HXB2,92.64705882,MK114636,100,1.079365079
SYN_372_3547_3696_370_-_11547_1_.__0370 ,,,,,,,both,YU-2,96,ON816670,100,1.041666667
SYN_48_775_924_397_+_8775_1_._HXB2$Hu_0048 ,,,,,,,both,HXB2,100,MZ922531,96,0.96
SYN_250_8678_8827_430_-_16678_1_.__0748 ,,,,,,,both,Bru,57.75862069,OM203601,99.33333333,1.719800995
SYN_377_721_870_362_-_8721_1_0873 ,,,,,,,both,YU-2,97.33333333,ON816670,99.33333333,1.020547945
SYN_346_564_713_322_-_8564_1_0844 ,,,,,,,both,NL4-3,98,OM203601,100,1.020408163
SYN_149_760_909_453_+_8760_1_._0645 ,,,,,,,both,YU-2,98.66666667,ON816670,100,1.013513514
